Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,12959,27410,1935,60,15
70,2,11130,23735,1935,70,15
80,3,12669,21750,985,80,15
89,4,10556,17935,3885,89,15
97,5,10124,19760,1285,97,15
105,6,9777,17835,2235,105,15
114,7,7979,11560,2060,114,15
123,8,7158,14035,2935,123,15
132,9,7736,14135,2735,132,15
138,10,7543,15560,1510,138,15
145,11,8463,12160,4060,145,15
149,12,7923,15345,410,149,15
156,13,6912,14135,2460,156,15
160,14,5387,13735,1860,160,15
165,15,5842,9510,35,165,15
168,16,6150,10335,985,168,15
174,17,6212,12160,635,174,15
178,18,5927,15435,910,178,15
180,19,5675,12160,910,180,15
186,20,5417,10335,1935,186,15
189,21,5577,11560,635,189,15
194,22,5872,10335,2810,194,15
195,23,4762,8510,635,195,15
200,24,6787,12160,110,200,15
202,25,5197,12160,985,202,15
205,26,5397,10110,2060,205,15
207,27,4487,7535,985,207,15
207,28,5985,12160,1860,207,15
208,29,6597,12160,910,208,15
210,30,5077,10335,110,210,15
212,31,5027,11760,235,212,15
213,32,5180,10335,2460,213,15
215,33,3822,8510,110,215,15
215,34,4720,12160,1510,215,15
215,35,4695,12160,635,215,15
217,36,4275,12160,635,217,15
217,37,4807,8285,1860,217,15
217,38,5260,9935,1860,217,15
219,39,5010,11935,635,219,15
219,40,5172,9935,2460,219,15
219,41,3707,7310,635,219,15
219,42,4640,9810,1935,219,15
220,43,4985,10110,635,220,15
220,44,4242,9935,1510,220,15
220,45,4470,10335,635,220,15
220,46,3807,10335,635,220,15
220,47,5745,12160,2460,220,15
220,48,4077,11935,35,220,15
221,49,4800,10335,635,221,15
221,50,4617,9935,1285,221,15
221,51,4712,10335,1935,221,15
221,52,3677,9935,1110,221,15
221,53,5055,10335,910,221,15
221,54,5017,10335,1510,221,15
221,55,5355,10335,235,221,15
221,56,5727,10335,3110,221,15
221,57,4695,11560,635,221,15
221,58,4975,10335,1860,221,15
