Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,12793,27420,6990,60,1860
70,2,12186,23190,2055,70,1860
80,3,11533,17800,6480,80,1860
90,4,14131,26880,3715,90,1860
99,5,12400,25445,3790,99,1860
109,6,14352,23565,3865,109,1860
119,7,14598,29105,4040,119,1860
129,8,13185,27410,980,129,1860
139,9,10993,17720,4755,139,980
149,10,12153,19820,3860,149,980
159,11,11920,28950,2920,159,980
169,12,15574,25305,7635,169,980
179,13,11302,18840,1910,179,980
189,14,9809,21190,2045,189,980
199,15,15654,29340,5685,199,980
209,16,10430,19540,1840,209,980
219,17,10926,19385,405,219,980
229,18,12507,27415,195,229,405
239,19,13214,19575,2810,239,195
248,20,14709,25010,6250,248,195
256,21,9118,23295,1915,256,195
265,22,8998,23735,25,265,195
274,23,12005,23560,1860,274,25
284,24,10303,23195,1275,284,25
294,25,18315,29120,6905,294,25
303,26,11067,23055,890,303,25
313,27,14181,19355,9795,313,25
323,28,10688,21130,5185,323,25
333,29,12691,27000,2910,333,25
343,30,12850,19795,4740,343,25
352,31,14806,27020,5620,352,25
362,32,10998,21250,1835,362,25
372,33,15966,27185,3780,372,25
382,34,11815,25455,4275,382,25
392,35,12007,23170,5610,392,25
402,36,12204,29135,4600,402,25
412,37,16582,28750,7045,412,25
422,38,12721,19155,3915,422,25
432,39,11718,24850,2715,432,25
442,40,8103,15860,210,442,25
452,41,12043,24845,2695,452,25
462,42,16001,31320,3755,462,25
472,43,15341,27015,3630,472,25
482,44,14100,24830,1930,482,25
492,45,11581,26885,4580,492,25
502,46,11382,21510,2905,502,25
511,47,16177,25445,8410,511,25
521,48,15132,25200,7100,521,25
531,49,13088,24915,3790,531,25
541,50,10663,19210,4905,541,25
551,51,10805,22950,30,551,25
561,52,9449,15490,4965,561,25
570,53,13236,25025,7830,570,25
579,54,11167,17075,3090,579,25
589,55,13386,25040,6030,589,25
599,56,15658,24840,25,599,25
609,57,13641,23510,5080,609,25
618,58,11309,16290,4810,618,25
628,59,14668,24935,5645,628,25
638,60,14189,30915,875,638,25
648,61,13386,23150,880,648,25
658,62,10910,19560,1505,658,25
667,63,17001,25550,3725,667,25
676,64,10399,16560,2780,676,25
686,65,13913,21480,7555,686,25
694,66,12461,28935,2025,694,25
703,67,14965,27000,1500,703,25
713,68,8058,19290,15,713,25
722,69,9774,22915,1105,722,15
732,70,12149,19200,3695,732,15
742,71,13139,28940,4600,742,15
751,72,13605,23680,90,751,15
761,73,8432,21525,210,761,15
771,74,13349,24830,2235,771,15
781,75,11857,19390,4090,781,15
791,76,13043,23175,965,791,15
801,77,15472,28795,6230,801,15
811,78,13650,26765,3665,811,15
819,79,9595,19205,1920,819,15
829,80,12567,25150,6005,829,15
839,81,16382,31085,4305,839,15
849,82,14655,27355,5625,849,15
858,83,12520,25530,3735,858,15
868,84,11136,23170,3860,868,15
878,85,16027,27025,8530,878,15
887,86,11581,25135,4970,887,15
896,87,14148,22920,6520,896,15
906,88,10536,17435,3900,906,15
916,89,11814,24950,2805,916,15
926,90,15765,30715,4325,926,15
935,91,13316,25315,3810,935,15
944,92,13053,23175,2035,944,15
954,93,13626,22965,1095,954,15
963,94,14560,25210,5635,963,15
973,95,12449,21315,3085,973,15
982,96,12905,23310,5290,982,15
992,97,10309,23305,3700,992,15
1002,98,13617,27150,5635,1002,15
1011,99,14661,19325,6870,1011,15
1021,100,15339,25530,8535,1021,15
1031,101,13792,29340,4525,1031,15
1041,102,13546,25015,5660,1041,15
1051,103,13856,26885,3695,1051,15
1061,104,12876,27420,3915,1061,15
1070,105,17104,23570,10915,1070,15
1079,106,14159,28805,5080,1079,15
1089,107,14767,30900,2910,1089,15
1098,108,16271,22995,8795,1098,15
1107,109,14270,26765,615,1107,15
1117,110,15618,26995,6145,1117,15
1126,111,13592,25545,6145,1126,15
1136,112,15313,26800,3715,1136,15
1145,113,11225,17915,5680,1145,15
1155,114,10271,19400,5,1155,15
1165,115,14740,25045,4330,1165,5
1173,116,12365,25200,5920,1173,5
1181,117,13625,21260,4040,1181,5
1191,118,16478,25025,1925,1191,5
1200,119,9944,17310,6255,1200,5
1209,120,13941,25000,3085,1209,5
1217,121,13560,22965,100,1217,5
1227,122,13570,29105,4100,1227,5
1237,123,1
