Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,10841,19165,4265,60,35
70,2,9667,17835,910,70,35
78,3,7866,17835,110,78,35
88,4,6097,14035,3110,88,35
98,5,5923,10815,635,98,35
106,6,4814,15950,615,106,35
114,7,3770,10335,1285,114,35
120,8,5102,12150,635,120,35
127,9,4332,7535,1935,127,35
133,10,4614,10335,620,133,35
139,11,5999,10335,985,139,35
144,12,4584,12160,620,144,35
149,13,5061,11560,620,149,35
154,14,5131,11935,2445,154,35
158,15,4784,12145,410,158,35
162,16,3805,10335,410,162,35
165,17,4078,11560,635,165,35
167,18,4151,11760,410,167,35
169,19,3605,5710,1860,169,35
173,20,4363,10110,1500,173,35
176,21,4723,12160,235,176,35
176,22,4108,11935,1510,176,35
176,23,4100,11635,620,176,35
181,24,3943,8285,625,181,35
181,25,3448,5185,1500,181,35
182,26,2598,5160,35,182,35
186,27,3805,9735,1490,186,35
186,28,3083,5160,110,186,35
188,29,2726,5140,635,188,35
188,30,3633,11560,985,188,35
189,31,2986,4285,635,189,35
189,32,2883,7535,635,189,35
190,33,3451,9735,620,190,35
191,34,3608,7910,620,191,35
192,35,2265,6935,410,192,35
192,36,3796,5160,2440,192,35
192,37,2971,5160,235,192,35
192,38,3091,5160,615,192,35
192,39,3196,11635,110,192,35
193,40,4085,9735,2235,193,35
193,41,3441,9810,620,193,35
193,42,3265,5145,635,193,35
193,43,3075,10335,615,193,35
193,44,3083,5160,1860,193,35
193,45,3180,7910,35,193,35
193,46,3249,6935,1860,193,35
193,47,3528,9735,635,193,35
193,48,3546,8510,635,193,35
193,49,3005,10335,615,193,35
193,50,2726,7535,615,193,35
193,51,3728,7910,635,193,35
193,52,3161,5185,235,193,35
194,53,2796,5710,635,194,35
194,54,3346,11560,235,194,35
194,55,3368,7985,1935,194,35
195,56,2526,4285,630,195,35
195,57,3333,5160,635,195,35
195,58,2245,5160,235,195,35
195,59,3618,5160,2440,195,35
195,60,2786,5160,635,195,35
195,61,3350,5160,2455,195,35
195,62,2524,5160,35,195,35
195,63,3143,5160,1110,195,35
195,64,3246,5160,1510,195,35
195,65,2738,4285,635,195,35
195,66,2245,4265,625,195,35
195,67,2420,5145,635,195,35
195,68,2446,5140,410,195,35
195,69,2905,5160,625,195,35
195,70,3173,4635,625,195,35
195,71,3341,5145,635,195,35
195,72,3355,5140,235,195,35
195,73,2985,5160,1285,195,35
195,74,3175,5160,1510,195,35
195,75,3070,5160,635,195,35
195,76,2603,5160,635,195,35
195,77,2968,5160,1510,195,35
195,78,3158,4275,1510,195,35
195,79,2245,3335,35,195,35
195,80,2801,5160,620,195,35
195,81,3096,5145,620,195,35
195,82,2818,5145,620,195,35
195,83,2540,4285,635,195,35
195,84,2896,4285,635,195,35
195,85,3070,4560,1110,195,35
195,86,3080,5160,35,195,35
195,87,2617,5160,1500,195,35
195,88,3365,5140,2460,195,35
195,89,1715,3110,620,195,35
195,90,1713,4270,110,195,35
195,91,3063,5145,630,195,35
195,92,3071,5155,1110,195,35
195,93,3618,5150,2440,195,35
195,94,2531,3335,620,195,35
195,95,2888,4760,635,195,35
195,96,3263,5160,910,195,35
195,97,3530,5155,1510,195,35
195,98,2793,4560,615,195,35
195,99,2333,4285,910,195,35
195,100,2443,5160,620,195,35
195,101,2818,4265,410,195,35
195,102,2793,5160,235,195,35
195,103,2912,5160,110,195,35
195,104,1903,3335,235,195,35
195,105,2793,4285,1510,195,35
195,106,2976,3885,1495,195,35
195,107,2722,5160,615,195,35
195,108,2705,4285,235,195,35
195,109,2533,3335,635,195,35
195,110,2698,5140,1110,195,35
195,111,2985,5160,615,195,35
195,112,3063,5160,635,195,35
195,113,2905,4560,630,195,35
195,114,2436,5160,35,195,35
195,115,2428,4285,615,195,35
195,116,2636,5150,635,195,35
195,117,2706,5160,630,195,35
195,118,3333,5160,1110,195,35
195,119,2715,5160,35,195,35
195,120,3356,5150,2445,195,35
195,121,2705,5160,110,195,35
195,122,3168,5160,620,195,35
195,123,2628,5140,635,195,35
195,124,3270,5160,1500,195,35
195,125,2976,5145,110,195,35
195,126,2723,5145,410,195,35
195,127,2881,3335,1510,195,35
195,128,3985,5160,1510,195,35
195,129,3070,5160,235,195,35
195,130,2880,5160,635,195,35
195,131,2541,4285,620,195,35
195,132,2976,4760,1505,195,35
195,133,2625,4275,615,195,35
195,134,2905,5160,985,195,35
195,135,1730,2460,615,195,35
195,136,2826,5160,620,195,35
195,137,2713,5160,235,195,35
195,138,2461,4285,110,195,35
195,139,2446,5160,35,195,35
195,140,2453,5145,635,195,35
195,141,2976,4285,235,195,35
195,142,2810,3760,1490,195,35
195,143,3358,5160,635,195,35
195,144,3157,4560,1490,195,35
195,145,3183,5160,1285,195,35
195,146,2165,5140,635,195,35
195,147,2445,5145,410,195,35
195,148,3880,5160,2060,195,35
195,149,3078,5155,615,195,35
195,150,2333,5160,235,195,35
195,151,3270,5160,635,195,35
195,152,2001,3335,635,195,35
195,153,2898,5160,985,195,35
195,154,2888,4285,35,195,35
195,155,1982,4635,615,195,35
195,156,2914,5145,1935,195,35
195,157,3610,5160,2060,195,35
195,158,2985,4560,410,195,35
195,159,2825,4935,620,195,35
195,160,2905,5160,625,195,35
195,161,2461,5145,630,195,35
195,162,3358,5160,1860,195,35
195,163,3540,5160,1860,195,35
195,164,2628,5160,620,195,35
195,165,2881,4275,620,195,35
195,166,3888,5160,2450,195,35
195,167,3071,5160,635,195,35
195,168,2738,4935,635,195,35
195,169,2260,4285,635,195,35
195,170,2358,5160,620,195,35
195,171,3611,5160,1495,195,35
195,172,2826,5140,635,195,35
195,173,2541,4935,620,195,35
195,174,1903,4635,615,195,35
195,175,3000,5160,615,195,35
195,176,2984,5160,985,195,35
195,177,2074,5160,620,195,35
195,178,2533,4285,635,195,35
195,179,2920,5160,625,195,35
195,180,2706,5160,620,195,35
195,181,3435,5160,1495,195,35
195,182,3008,5160,620,195,35
195,183,3071,4760,35,195,35
195,184,2523,3335,635,195,35
195,185,2548,4285,635,195,35
195,186,3263,5160,910,195,35
195,187,2183,5150,410,195,35
195,188,2443,5145,615,195,35
195,189,2445,4280,635,195,35
195,190,3263,5160,635,195,35
195,191,2810,4635,635,195,35
195,192,2628,5160,35,195,35
195,193,3253,5160,35,195,35
195,194,2705,5150,615,195,35
195,195,2913,5160,635,195,35
195,196,2166,5145,620,195,35
195,197,2445,4285,635,195,35
195,198,3175,5145,635,195,35
195,199,3167,5140,625,195,35
195,200,2804,5155,635,195,35
195,201,2158,3885,630,195,35
195,202,3443,5160,1495,195,35
195,203,2547,5160,615,195,35
195,204,2435,4285,635,195,35
195,205,2452,5160,615,195,35
195,206,3811,5160,410,195,35
195,207,3158,5160,630,195,35
195,208,2538,4635,635,195,35
195,209,2438,5160,635,195,35
195,210,2889,5160,110,195,35
195,211,2983,5140,625,195,35
195,212,1801,3335,35,195,35
195,213,2548,5160,110,195,35
195,214,2524,5160,620,195,35
195,215,2817,5160,625,195,35
195,216,3096,5155,35,195,35
195,217,2540,4560,635,195,35
195,218,1731,5160,410,195,35
195,219,1896,4285,110,195,35
195,220,2731,5160,620,195,35
195,221,2810,5160,1490,195,35
195,222,3165,5160,1510,195,35
195,223,2340,3335,615,195,35
195,224,3063,4285,635,195,35
195,225,3246,5145,2060,195,35
195,226,3429,5160,635,195,35
195,227,2358,5140,985,195,35
195,228,2976,5160,630,195,35
195,229,2880,5150,110,195,35
195,230,2993,4560,635,195,35
195,231,2723,5160,110,195,35
195,232,3159,5160,1110,195,35
195,233,2349,5160,110,195,35
195,234,3271,4280,2460,195,35
195,235,2548,4935,1510,195,35
195,236,2253,4285,625,195,35
195,237,3190,5160,635,195,35
195,238,2818,5160,635,195,35
195,239,2358,4285,630,195,35
195,240,2549,4285,620,195,35
195,241,3548,5160,2235,195,35
195,242,3556,5160,1935,195,35
195,243,3445,4935,635,195,35
195,244,3366,5160,635,195,35
195,245,2522,3335,1510,195,35
195,246,3175,5160,35,195,35
195,247,1993,3335,410,195,35
195,248,2175,5160,410,195,35
195,249,3071,5145,35,195,35
195,250,2524,5145,635,195,35
195,251,2723,5160,35,195,35
195,252,2983,5145,635,195,35
195,253,2899,5160,635,195,35
195,254,2968,5160,635,195,35
195,255,2817,4560,635,195,35
195,256,3348,5160,635,195,35
195,257,2548,4285,410,195,35
195,258,3176,5160,635,195,35
195,259,2881,5160,635,195,35
195,260,3008,5155,410,195,35
195,261,2808,5160,110,195,35
195,262,2993,4285,910,195,35
195,263,3158,5160,1505,195,35
195,264,3516,5160,1510,195,35
195,265,2794,3885,1495,195,35
195,266,2626,4285,1110,195,35
195,267,2724,5160,410,195,35
195,268,2548,4285,110,195,35
195,269,2618,5160,35,195,35
195,270,2723,4935,615,195,35
195,271,2706,4760,1495,195,35
195,272,2628,4265,620,195,35
195,273,2906,5160,1510,195,35
195,274,2793,5160,235,195,35
195,275,3081,5160,635,195,35
195,276,1913,3760,615,195,35
195,277,2611,5160,635,195,35
195,278,2628,5160,410,195,35
195,279,2365,5160,35,195,35
195,280,3000,4285,1490,195,35
195,281,3253,5160,620,195,35
195,282,2785,5160,235,195,35
195,283,2515,5140,635,195,35
195,284,2618,5160,110,195,35
195,285,3078,4285,1510,195,35
195,286,3158,5160,1495,195,35
195,287,3176,5160,2235,195,35
195,288,3253,5160,635,195,35
195,289,3150,5160,1500,195,35
195,290,2912,5160,625,195,35
195,291,3063,4280,1490,195,35
195,292,3168,5140,2235,195,35
195,293,2150,3335,615,195,35
195,294,2889,5160,110,195,35
195,295,3341,5155,1510,195,35
195,296,2793,5160,35,195,35
195,297,2421,5160,635,195,35
195,298,2278,5140,410,195,35
195,299,3183,5155,635,195,35
195,300,1898,3335,35,195,35
195,301,2985,4935,1490,195,35
195,302,3523,5160,2445,195,35
195,303,2896,4285,35,195,35
195,304,3007,4935,625,195,35
195,305,2253,4285,620,195,35
195,306,3095,4635,1510,195,35
195,307,2881,5160,620,195,35
195,308,3263,5160,1490,195,35
195,309,2541,4285,410,195,35
195,310,2905,5140,410,195,35
195,311,3246,4560,1110,195,35
195,312,2540,5140,615,195,35
195,313,2896,4285,1505,195,35
195,314,2982,5160,635,195,35
195,315,2636,5160,110,195,35
195,316,3818,5160,2445,195,35
195,317,2983,5160,1110,195,35
195,318,2636,4935,1505,195,35
195,319,2541,5160,635,195,35
195,320,2428,5155,635,195,35
195,321,3063,5160,35,195,35
195,322,2533,3335,635,195,35
195,323,3446,5160,635,195,35
195,324,2993,5160,635,195,35
195,325,2706,5160,635,195,35
195,326,2516,4270,620,195,35
195,327,2175,5160,615,195,35
195,328,2618,5145,625,195,35
195,329,2428,5160,635,195,35
195,330,2540,5160,985,195,35
195,331,2730,5160,615,195,35
195,332,3516,5160,2060,195,35
195,333,2531,4285,630,195,35
195,334,2811,5160,910,195,35
195,335,2428,5160,35,195,35
195,336,2611,5160,620,195,35
195,337,3173,4285,1510,195,35
195,338,2705,4285,35,195,35
195,339,2516,5145,635,195,35
195,340,3096,4635,635,195,35
195,341,2713,4635,615,195,35
195,342,2811,4635,1285,195,35
195,343,2460,4635,615,195,35
195,344,2800,5140,635,195,35
195,345,2453,4265,635,195,35
195,346,3366,5160,1285,195,35
195,347,2523,4560,630,195,35
195,348,2252,4285,615,195,35
195,349,2818,4280,1510,195,35
195,350,2523,5160,615,195,35
195,351,2253,5145,35,195,35
195,352,2905,5160,635,195,35
195,353,3191,5145,1510,195,35
195,354,3001,5160,410,195,35
195,355,3618,5145,985,195,35
195,356,3435,5150,1510,195,35
195,357,2803,4285,1285,195,35
195,358,2533,3335,35,195,35
195,359,2618,4760,620,195,35
195,360,3610,5160,1110,195,35
195,361,3088,5160,1285,195,35
195,362,3252,5160,1860,195,35
195,363,2461,4270,110,195,35
195,364,2245,3335,635,195,35
195,365,3253,5155,110,195,35
195,366,2454,3760,410,195,35
195,367,2355,4285,615,195,35
195,368,2523,5160,620,195,35
195,369,3246,5160,1510,195,35
195,370,3088,5160,635,195,35
195,371,3253,5145,1490,195,35
195,372,2985,5160,910,195,35
195,373,2523,5145,615,195,35
195,374,2523,4285,235,195,35
195,375,3176,5160,635,195,35
195,376,2523,5145,630,195,35
195,377,2358,4285,635,195,35
195,378,2260,4285,110,195,35
195,379,3008,5160,630,195,35
195,380,2992,5160,635,195,35
195,381,2636,4285,1495,195,35
195,382,3716,5160,2235,195,35
195,383,2635,5140,635,195,35
195,384,2800,5140,615,195,35
195,385,2166,5160,635,195,35
195,386,2896,5160,35,195,35
195,387,1994,3335,35,195,35
195,388,2144,5155,35,195,35
195,389,3818,5160,2235,195,35
195,390,2516,5160,235,195,35
195,391,2070,4285,615,195,35
195,392,2254,3320,985,195,35
195,393,2888,4760,635,195,35
195,394,2906,5160,410,195,35
195,395,2523,5160,620,195,35
195,396,2523,3335,1510,195,35
195,397,2341,3335,235,195,35
