Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,14030,23560,4660,60,1510
70,2,12024,27365,3320,70,1510
80,3,13042,19585,5535,80,1510
90,4,16258,26835,5185,90,1510
100,5,16904,31305,395,100,1510
110,6,15173,25540,2035,110,395
120,7,14877,25455,4315,120,395
130,8,16653,26805,8885,130,395
140,9,12024,23100,5185,140,395
150,10,13947,23030,6145,150,395
160,11,17409,29125,3865,160,395
170,12,10922,17330,6240,170,395
180,13,9499,16685,2205,180,395
190,14,9196,15365,3105,190,395
200,15,12104,25325,4660,200,395
210,16,13971,23040,3905,210,395
219,17,9312,21200,3310,219,395
229,18,13119,27345,4670,229,395
239,19,12773,25545,70,239,395
249,20,14073,27415,3720,249,70
259,21,13291,31095,3280,259,70
268,22,14006,26800,2215,268,70
278,23,15607,28955,4615,278,70
288,24,11764,27125,390,288,70
297,25,14782,23535,6920,297,70
305,26,15446,25060,7015,305,70
315,27,11370,21360,2220,315,70
325,28,12382,21715,3625,325,70
335,29,14668,21235,8225,335,70
345,30,15773,28735,6610,345,70
354,31,10597,19800,2230,354,70
364,32,14688,27000,5125,364,70
374,33,12893,26780,2035,374,70
384,34,14976,27370,6965,384,70
391,35,11940,28730,3915,391,70
400,36,15389,23190,5695,400,70
409,37,11304,28755,4960,409,70
419,38,14625,23055,3870,419,70
428,39,12080,23175,1850,428,70
438,40,11506,28810,1090,438,70
448,41,15359,27195,7595,448,70
458,42,13989,30900,5845,458,70
467,43,10484,23060,610,467,70
477,44,13598,27025,4335,477,70
487,45,14442,27015,1900,487,70
497,46,17757,28825,6875,497,70
506,47,12479,25450,1840,506,70
514,48,11018,21350,3470,514,70
524,49,11756,19395,6790,524,70
534,50,16235,28825,3255,534,70
544,51,10556,19520,3265,544,70
553,52,15643,31310,3355,553,70
563,53,15242,29120,3735,563,70
573,54,16207,25540,8055,573,70
583,55,16617,28805,5290,583,70
593,56,10621,21115,2045,593,70
603,57,13560,23275,3100,603,70
612,58,11684,24830,2445,612,70
622,59,11470,17090,6245,622,70
632,60,16019,31080,7345,632,70
641,61,13555,25430,2715,641,70
651,62,16576,25330,2215,651,70
660,63,13892,26960,5,660,70
670,64,11072,17685,4670,670,5
680,65,14284,23175,7830,680,5
690,66,13178,23075,3735,690,5
700,67,7576,11300,2040,700,5
709,68,14057,23205,5470,709,5
719,69,13963,25140,5,719,5
728,70,13694,27005,6960,728,5
738,71,14751,30705,4945,738,5
748,72,13959,27015,2775,748,5
758,73,11694,26815,3710,758,5
768,74,13679,23315,3470,768,5
778,75,15535,27380,5195,778,5
787,76,14090,23170,5090,787,5
797,77,16061,23720,1475,797,5
806,78,12641,26815,5165,806,5
814,79,9537,15545,4100,814,5
824,80,15627,30715,1920,824,5
834,81,13809,23315,5520,834,5
844,82,12460,23555,2220,844,5
854,83,14986,25200,5290,854,5
863,84,13483,26765,2705,863,5
873,85,14833,26895,2715,873,5
883,86,12443,25015,1260,883,5
892,87,13892,28805,5830,892,5
902,88,13522,21115,5195,902,5
911,89,17192,28930,5625,911,5
920,90,13401,21510,7290,920,5
928,91,10968,26950,5845,928,5
937,92,12825,27435,3270,937,5
947,93,11365,22965,3675,947,5
956,94,18074,30910,3705,956,5
966,95,15859,26885,3730,966,5
976,96,11111,21145,4590,976,5
986,97,17756,30895,8480,986,5
996,98,15348,26880,9710,996,5
1005,99,12584,21100,5540,1005,5
1014,100,14766,30715,1080,1014,5
1022,101,11079,18670,5,1022,5
1032,102,15307,25035,8675,1032,5
1041,103,14613,30775,4080,1041,5
1051,104,13884,19340,5700,1051,5
1061,105,11284,27150,1905,1061,5
1069,106,13981,27425,1475,1069,5
1079,107,13828,25330,5520,1079,5
1089,108,11667,21715,1085,1089,5
1099,109,12863,23730,2050,1099,5
1109,110,13925,27145,4315,1109,5
1119,111,15070,25550,30,1119,5
1129,112,14914,25560,890,1129,5
1139,113,17178,23045,10900,1139,5
